task_id,title,epic_id,feature_id,story_id,subsystem,description,reason,source_finding_ids,implementation_boundaries,likely_files,dependency_ids,prerequisite_decisions,acceptance_criteria,tests_required,documentation_required,security_impact,scientific_impact,data_migration_impact,rollout_requirement,rollback_requirement,priority,severity,effort,confidence,status,release_stage,sprint_id,milestone_id,blocked_by_external,owner_type,completion_evidence,created_date,updated_date
"AVA-0001","Commit and review reproducible baseline","AVA-EPIC-001","AVA-FEAT-001","AVA-STORY-001","Release","Implement and verify commit and review reproducible baseline without replacing working systems.","Audited S1/P0 finding AVA-001.","AVA-001","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","","Audit","Clean intentional commits reproduce gates","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","M","Medium","Blocked","Foundation","SPRINT-01","M0","false","DevOps or Platform Engineer","2026-07-18: worktree baseline proves substantial user-owned changes remain unpartitioned; no unrelated work was staged or committed","2026-07-18","2026-07-18"
"AVA-0002","Provision isolated staging Supabase/web/worker","AVA-EPIC-011","AVA-FEAT-002","AVA-STORY-002","Infra","Implement and verify provision isolated staging supabase/web/worker without replacing working systems.","Audited S1/P0 finding AVA-002.","AVA-002","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","","Provider decision","IaC/repeatable deploy and health","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","L","Medium","Blocked","Staging","SPRINT-02","M1","true","DevOps or Platform Engineer","2026-07-18 Sprint 02: repository topology, environment contract, worker health and local validation exist; staging provider/account/region and deployment remain externally blocked","2026-07-18","2026-07-18"
"AVA-0003","Managed secrets and rotation","AVA-EPIC-011","AVA-FEAT-003","AVA-STORY-003","Security","Implement and verify managed secrets and rotation without replacing working systems.","Audited S1/P0 finding AVA-003.","AVA-003","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0002","","No local secrets; rotation rehearsed","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Direct","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","M","Medium","Blocked","Staging","SPRINT-02","M1","true","DevOps or Platform Engineer","2026-07-18 Sprint 02: secret scan and configuration sanity passed; managed store selection and rotation rehearsal remain blocked by AVA-0002/EXT-02","2026-07-18","2026-07-18"
"AVA-0004","Apply/verify 52 migrations in staging","AVA-EPIC-011","AVA-FEAT-004","AVA-STORY-004","Database","Implement and verify apply/verify 52 migrations in staging without replacing working systems.","Audited S1/P0 finding AVA-004.","AVA-004","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0002","","Checksums, smoke and rollback pass","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","Possible","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","M","Medium","Blocked","Staging","SPRINT-02","M1","true","DevOps or Platform Engineer","2026-07-18 Sprint 02: all 53 repository migrations align with the disposable local database; staging apply/checksum/rollback evidence remains blocked","2026-07-18","2026-07-18"
"AVA-0005","Complete authorization operation matrix","AVA-EPIC-003","AVA-FEAT-005","AVA-STORY-005","Authz","Implement and verify complete authorization operation matrix without replacing working systems.","Audited S0/P0 finding AVA-005.","AVA-005","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0004","","Cross-athlete negative suite passes","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Direct","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S0","M","Medium","In Progress","Staging","SPRINT-02","M1","false","Security Engineer","2026-07-18 Sprint 02: source ownership sanity and 12 mobile pgTAP assertions passed locally; applied-staging cross-athlete/cross-organization adversarial matrix remains unavailable","2026-07-18","2026-07-18"
"AVA-0006","Implement `/api/mobile/v1` provider","AVA-EPIC-008","AVA-FEAT-006","AVA-STORY-006","Mobile/API","Implement and verify implement `/api/mobile/v1` provider without replacing working systems.","Audited S1/P0 finding AVA-006.","AVA-006","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0004;AVA-0005","","Versioned contract tests pass","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","L","Medium","In Progress","Native vertical slice","SPRINT-03","M2","false","Native iOS Engineer","2026-07-18 Sprint 03: local versioned provider and contract gates pass; staging and authorization evidence remain required","2026-07-18","2026-07-18"
"AVA-0007","Connect native auth/capture/upload/result","AVA-EPIC-008","AVA-FEAT-007","AVA-STORY-007","iOS","Implement and verify connect native auth/capture/upload/result without replacing working systems.","Audited S1/P0 finding AVA-007.","AVA-007","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0006","","Real device E2E passes","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","L","Medium","In Progress","Native vertical slice","SPRINT-04","M2","false","Native iOS Engineer","2026-07-18 Sprint 04: native foundation and 19 tests pass; staging/simulator/real-device E2E remain required","2026-07-18","2026-07-18"
"AVA-0008","Replace placeholder app identity/signing","AVA-EPIC-008","AVA-FEAT-008","AVA-STORY-008","iOS","Implement and verify replace placeholder app identity/signing without replacing working systems.","Audited S1/P0 finding AVA-008.","AVA-008","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","","Apple account","Archive succeeds","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","M","Medium","Blocked","Native vertical slice","SPRINT-04","M2","true","Native iOS Engineer","2026-07-18 Sprint 04: placeholder identity confirmed; Apple signing/full Xcode/archive evidence unavailable","2026-07-18","2026-07-18"
"AVA-0009","Hosted worker golden-video execution","AVA-EPIC-005","AVA-FEAT-009","AVA-STORY-009","Analysis","Implement and verify hosted worker golden-video execution without replacing working systems.","Audited S1/P0 finding AVA-009.","AVA-009","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0002;AVA-0004","","60/120/240 jobs complete with provenance","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","L","Medium","Blocked","Native vertical slice","SPRINT-06","M2","true","Computer Vision Engineer","2026-07-19 Sprint 06: local worker and 60 FPS gates pass; hosted golden execution remains","2026-07-18","2026-07-19"
"AVA-0010","Deploy telemetry/dashboards/alerts","AVA-EPIC-011","AVA-FEAT-010","AVA-STORY-010","Ops","Implement and verify deploy telemetry/dashboards/alerts without replacing working systems.","Audited S1/P0 finding AVA-010.","AVA-010","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0002","","Queue/upload/activation alerts rehearsed","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","L","Medium","Blocked","Staging","SPRINT-02","M1","true","DevOps or Platform Engineer","2026-07-18 Sprint 02: structured worker health/logging and redaction tests passed locally; collector, dashboards, alert routing and rehearsal remain externally blocked","2026-07-18","2026-07-18"
